year,month,day,31N,32N,33N,34N,35N,36N,37N,38N,39N,40N,41N,42N,43N,44N,45N,46N,47N
1988,1,1,-0.499,0.065,-0.005,-0.316,-0.312,-0.142,-0.316,-0.352,-0.188,0.25,0.186,-0.253,-0.057,-0.207,0.304,0.17,0.127
1988,1,2,-0.284,-0.015,0.18,-0.344,-0.275,-0.375,-0.778,-0.866,-0.698,-1.073,-0.905,-0.746,-0.83,-0.709,0.052,0.054,-0
1988,1,3,-0.214,-0.006,0.1,-0.463,-0.741,-1.027,-1.352,-1.612,-1.615,-2.038,-1.375,-2.233,-0.912,-0.575,-1.429,-0.962,-0.614
1988,1,4,0.025,0.227,0.059,-0.306,-0.466,-0.379,-0.52,-0.543,-0.011,0.22,-0.132,-0.396,0.717,0.411,0.097,0.182,-0.284
1988,1,5,-0.137,-0.244,0.04,0.23,0.361,0.855,0.21,0.255,0.494,0.435,-0.175,-0.935,0.307,0.039,-0.176,0.242,-0.072
1988,1,6,0.345,0.636,0.04,0.194,0.032,0.656,0.027,0.107,0.755,0.774,0.237,-0.046,0.489,0.114,0.109,0.335,0.199
1988,1,7,0.621,0.502,0.345,0.139,0.222,0.36,-0.109,-0.104,0.181,0.313,-0.177,-0.12,0.37,0.174,-0.146,-0.007,-0.226
1988,1,8,0.684,0.632,0.61,0.431,0.447,0.798,0.114,0.114,0.292,0.131,-0.195,-0.032,-0.024,0.02,-0.017,0.192,0.044
1988,1,9,0.469,0.555,0.431,0.374,0.266,0.28,0.012,-0.18,0.121,-0.139,-0.596,-0.433,-0.421,-0.363,-0.453,-0.105,-0.224
1988,1,10,-0.038,0.444,0.277,0.221,0.323,0.424,-0.011,-0.238,-0.329,-0.337,-0.966,-1.17,0.211,0.196,0.031,0.139,0.243
